Date Accessed,User Agent - Simple,User Agent - Full,IP Address,Number of Logins,Last Date Accessed
Fri Aug 16 2019 13:17:39 GMT-0500 (CDT),Slack Web App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Safari/605.1.15",71.195.19.50,7,Fri Aug 16 2019 13:18:31 GMT-0500 (CDT)
Fri Aug 16 2019 10:44:54 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,3,Fri Aug 16 2019 12:51:50 GMT-0500 (CDT)
Fri Aug 16 2019 07:32:54 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,8,Fri Aug 16 2019 13:13:50 GMT-0500 (CDT)
Fri Aug 16 2019 06:38:47 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,7,Fri Aug 16 2019 12:41:03 GMT-0500 (CDT)
Thu Aug 15 2019 23:48:35 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,2,Fri Aug 16 2019 01:18:29 GMT-0500 (CDT)
Thu Aug 15 2019 10:38:08 GMT-0500 (CDT),iOS App (iPad),"com.tinyspeck.chatlyio/19.07.30 (iPad; iOS 12.3.1; Scale/2.00)",71.195.19.50,15,Thu Aug 15 2019 22:28:49 GMT-0500 (CDT)
Thu Aug 15 2019 08:58:26 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,1,Thu Aug 15 2019 08:58:26 GMT-0500 (CDT)
Thu Aug 15 2019 07:01:42 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,12,Thu Aug 15 2019 20:48:35 GMT-0500 (CDT)
Thu Aug 15 2019 06:41:53 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,19,Fri Aug 16 2019 00:04:29 GMT-0500 (CDT)
Wed Aug 14 2019 21:54:14 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,2,Wed Aug 14 2019 22:57:25 GMT-0500 (CDT)
Wed Aug 14 2019 21:44:09 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",71.195.19.50,5,Thu Aug 15 2019 00:44:10 GMT-0500 (CDT)
Wed Aug 14 2019 18:23:53 GMT-0500 (CDT),Mac Desktop App,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Slack/4.0.1 Chrome/69.0.3497.128 Electron/4.2.1 Safari/537.36 Sonic Slack_SSB/4.0.1",131.212.251.114,8,Wed Aug 14 2019 19:41:41 GMT-0500 (CDT)
Wed Aug 14 2019 17:17:32 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,5,Wed Aug 14 2019 20:32:13 GMT-0500 (CDT)
Wed Aug 14 2019 13:34:57 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",71.195.19.50,3,Wed Aug 14 2019 15:58:10 GMT-0500 (CDT)
Wed Aug 14 2019 12:12:01 GMT-0500 (CDT),iOS App (iPhone),"com.tinyspeck.chatlyio/19.07.30 (iPhone; iOS 12.4; Scale/3.00)",107.77.207.236,3,Wed Aug 14 2019 12:24:00 GMT-0500 (CDT)
